False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.005952380952380952,0.906
0.01593625498007968,0.005952380952380952,0.884
0.02390438247011952,0.005952380952380952,0.84
0.027888446215139442,0.011904761904761904,0.83
0.027888446215139442,0.03571428571428571,0.808
0.03187250996015936,0.03571428571428571,0.804
0.035856573705179286,0.041666666666666664,0.8
0.035856573705179286,0.047619047619047616,0.796
0.0398406374501992,0.047619047619047616,0.788
0.04780876494023904,0.047619047619047616,0.784
0.04780876494023904,0.06547619047619048,0.764
0.05179282868525897,0.07142857142857142,0.754
0.055776892430278883,0.07142857142857142,0.75
0.05976095617529881,0.07738095238095238,0.746
0.06772908366533864,0.08928571428571429,0.74
0.06772908366533864,0.09523809523809523,0.738
0.06772908366533864,0.10714285714285714,0.736
0.07171314741035857,0.10714285714285714,0.734
0.07171314741035857,0.1130952380952381,0.728
0.07569721115537849,0.1130952380952381,0.724
0.07569721115537849,0.11904761904761904,0.722
0.0796812749003984,0.125,0.72
0.08764940239043825,0.125,0.714
0.08764940239043825,0.13690476190476192,0.706
0.09163346613545817,0.13690476190476192,0.704
0.099601593625498,0.14285714285714285,0.702
0.099601593625498,0.1488095238095238,0.698
0.10358565737051793,0.16071428571428573,0.696
0.10756972111553785,0.16666666666666666,0.694
0.10756972111553785,0.17261904761904762,0.69
0.11155378486055777,0.17857142857142858,0.688
0.11952191235059761,0.17857142857142858,0.686
0.11952191235059761,0.18452380952380953,0.684
0.13545816733067728,0.18452380952380953,0.674
0.13545816733067728,0.19047619047619047,0.67
0.1394422310756972,0.19642857142857142,0.664
0.15139442231075698,0.20238095238095238,0.658
0.1553784860557769,0.20833333333333334,0.656
0.16334661354581673,0.20833333333333334,0.652
0.1752988047808765,0.20833333333333334,0.65
0.1752988047808765,0.21428571428571427,0.646
0.17928286852589642,0.21428571428571427,0.644
0.18725099601593626,0.22023809523809523,0.642
0.1952191235059761,0.23214285714285715,0.638
0.1952191235059761,0.23809523809523808,0.636
0.199203187250996,0.23809523809523808,0.634
0.20717131474103587,0.23809523809523808,0.632
0.21115537848605578,0.23809523809523808,0.63
0.21115537848605578,0.25,0.628
0.22310756972111553,0.25595238095238093,0.626
0.23904382470119523,0.25595238095238093,0.622
0.24302788844621515,0.25595238095238093,0.618
0.24302788844621515,0.2619047619047619,0.616
0.24701195219123506,0.2619047619047619,0.614
0.24701195219123506,0.27380952380952384,0.612
0.24701195219123506,0.27976190476190477,0.61
0.2549800796812749,0.27976190476190477,0.608
0.2589641434262948,0.2857142857142857,0.606
0.2589641434262948,0.30952380952380953,0.596
0.2589641434262948,0.3273809523809524,0.59
0.26693227091633465,0.3273809523809524,0.588
0.26693227091633465,0.34523809523809523,0.586
0.27091633466135456,0.34523809523809523,0.584
0.2788844621513944,0.34523809523809523,0.582
0.2788844621513944,0.35119047619047616,0.58
0.2908366533864542,0.36904761904761907,0.572
0.2908366533864542,0.375,0.566
0.2948207171314741,0.38095238095238093,0.564
0.29880478087649404,0.38095238095238093,0.558
0.30278884462151395,0.3869047619047619,0.556
0.30278884462151395,0.39880952380952384,0.548
0.30278884462151395,0.40476190476190477,0.542
0.30278884462151395,0.4166666666666667,0.54
0.30278884462151395,0.4226190476190476,0.534
0.3107569721115538,0.42857142857142855,0.532
0.3187250996015936,0.42857142857142855,0.53
0.32669322709163345,0.43452380952380953,0.528
0.33067729083665337,0.44047619047619047,0.526
0.3386454183266932,0.4523809523809524,0.524
0.3386454183266932,0.47023809523809523,0.518
0.3386454183266932,0.48214285714285715,0.516
0.3386454183266932,0.4880952380952381,0.514
0.3426294820717131,0.49404761904761907,0.51
0.3466135458167331,0.5059523809523809,0.508
0.3545816733067729,0.5059523809523809,0.504
0.35856573705179284,0.5059523809523809,0.502
0.3665338645418327,0.5059523809523809,0.5
0.3705179282868526,0.5059523809523809,0.496
0.3745019920318725,0.5119047619047619,0.494
0.3745019920318725,0.5238095238095238,0.492
0.3784860557768924,0.5238095238095238,0.49
0.3904382470119522,0.5297619047619048,0.488
0.3904382470119522,0.5416666666666666,0.486
0.3944223107569721,0.5416666666666666,0.484
0.398406374501992,0.5476190476190477,0.482
0.4063745019920319,0.5476190476190477,0.48
0.4103585657370518,0.5476190476190477,0.478
0.41832669322709165,0.5476190476190477,0.476
0.42231075697211157,0.5476190476190477,0.472
0.4262948207171315,0.5535714285714286,0.47
0.4302788844621514,0.5535714285714286,0.468
0.4342629482071713,0.5595238095238095,0.466
0.43824701195219123,0.5773809523809523,0.464
0.43824701195219123,0.5892857142857143,0.462
0.44223107569721115,0.5892857142857143,0.46
0.44621513944223107,0.6011904761904762,0.456
0.44621513944223107,0.6071428571428571,0.452
0.4541832669322709,0.6071428571428571,0.45
0.4581673306772908,0.6071428571428571,0.448
0.4581673306772908,0.6130952380952381,0.446
0.46215139442231074,0.625,0.444
0.46613545816733065,0.6309523809523809,0.44
0.47808764940239046,0.6309523809523809,0.438
0.4820717131474104,0.6309523809523809,0.434
0.4940239043824701,0.6369047619047619,0.43
0.49800796812749004,0.6428571428571429,0.428
0.5099601593625498,0.6488095238095238,0.426
0.5099601593625498,0.6607142857142857,0.424
0.5139442231075697,0.6666666666666666,0.422
0.5179282868525896,0.6666666666666666,0.42
0.5179282868525896,0.6726190476190477,0.418
