Fold,Training_Patients,Validation_Patients,Selected_Feature_Count,Accuracy,Sensitivity,Specificity,AUC,TN,FP,FN,TP
1,334,85,5,0.5058823529411764,0.5294117647058824,0.49019607843137253,0.5262399077277969,25,26,16,18
2,336,83,5,0.5783132530120482,0.45454545454545453,0.66,0.5139393939393939,33,17,18,15
3,335,84,5,0.5952380952380952,0.4411764705882353,0.7,0.5670588235294117,35,15,19,15
4,335,84,5,0.6666666666666666,0.5882352941176471,0.72,0.7294117647058823,36,14,14,20
5,336,83,5,0.5903614457831325,0.5151515151515151,0.64,0.5700000000000001,32,18,16,17
