Fold,Training_Patients,Testing_Patients,Class0_Train,Class1_Train,Class0_Prior,Class1_Prior,Accuracy,Sensitivity,Specificity,Precision,TP,TN,FP,FN
1,334,85,200,134,0.5988023952095808,0.40119760479041916,0.49411764705882355,0.47058823529411764,0.5098039215686274,0.3902439024390244,16,26,25,18
2,336,83,201,135,0.5982142857142857,0.4017857142857143,0.5180722891566265,0.30303030303030304,0.66,0.37037037037037035,10,33,17,23
3,335,84,201,134,0.6,0.4,0.5714285714285714,0.4411764705882353,0.66,0.46875,15,33,17,19
4,335,84,201,134,0.6,0.4,0.7023809523809523,0.47058823529411764,0.86,0.6956521739130435,16,43,7,18
5,336,83,201,135,0.5982142857142857,0.4017857142857143,0.5662650602409639,0.2727272727272727,0.76,0.42857142857142855,9,38,12,24
