Fold,Training_Patients,Validation_Patients,Accuracy,Sensitivity,Specificity,AUC,TN,FP,FN,TP
1,334,85,0.6,0.38235294117647056,0.7450980392156863,0.563437139561707,38,13,21,13
2,336,83,0.5421686746987951,0.12121212121212122,0.82,0.48969696969696974,41,9,29,4
3,335,84,0.5119047619047619,0.08823529411764706,0.8,0.5047058823529412,40,10,31,3
4,335,84,0.6190476190476191,0.23529411764705882,0.88,0.7505882352941176,44,6,26,8
5,336,83,0.6144578313253012,0.12121212121212122,0.94,0.566060606060606,47,3,29,4
