False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.00398406374501992,0.0,0.9583791494369507
0.01195219123505976,0.0,0.7176268100738525
0.01195219123505976,0.005952380952380952,0.6958982944488525
0.01593625498007968,0.005952380952380952,0.6528468132019043
0.01593625498007968,0.011904761904761904,0.6442892551422119
0.027888446215139442,0.011904761904761904,0.6330429315567017
0.027888446215139442,0.017857142857142856,0.6308205127716064
0.043824701195219126,0.017857142857142856,0.6127920150756836
0.043824701195219126,0.023809523809523808,0.6088759899139404
0.04780876494023904,0.023809523809523808,0.6067728996276855
0.04780876494023904,0.03571428571428571,0.5972673892974854
0.05179282868525897,0.03571428571428571,0.5960530042648315
0.05179282868525897,0.05952380952380952,0.5917792320251465
0.055776892430278883,0.05952380952380952,0.5909991264343262
0.055776892430278883,0.07738095238095238,0.5865012407302856
0.06374501992031872,0.07738095238095238,0.5858838558197021
0.06374501992031872,0.09523809523809523,0.5836953520774841
0.07171314741035857,0.09523809523809523,0.5821324586868286
0.07171314741035857,0.10714285714285714,0.571921706199646
0.07569721115537849,0.10714285714285714,0.5711733102798462
0.07569721115537849,0.1130952380952381,0.5696011185646057
0.09561752988047809,0.1130952380952381,0.5593198537826538
0.09561752988047809,0.11904761904761904,0.5561238527297974
0.11155378486055777,0.11904761904761904,0.5472618341445923
0.11155378486055777,0.125,0.5419687032699585
0.11952191235059761,0.125,0.5374985337257385
0.11952191235059761,0.13095238095238096,0.5359418392181396
0.12350597609561753,0.13095238095238096,0.5321857929229736
0.12350597609561753,0.15476190476190477,0.5249767303466797
0.13545816733067728,0.15476190476190477,0.5217201113700867
0.13545816733067728,0.16071428571428573,0.5166970491409302
0.14741035856573706,0.16071428571428573,0.5132966041564941
0.14741035856573706,0.17261904761904762,0.5111941695213318
0.1553784860557769,0.17261904761904762,0.5093191862106323
0.1553784860557769,0.17857142857142858,0.5081697106361389
0.1593625498007968,0.17857142857142858,0.5054603815078735
0.1593625498007968,0.18452380952380953,0.5044298768043518
0.16334661354581673,0.18452380952380953,0.5008364319801331
0.16334661354581673,0.19047619047619047,0.5005593299865723
0.17131474103585656,0.19047619047619047,0.49898043274879456
0.17131474103585656,0.19642857142857142,0.4951648414134979
0.1752988047808765,0.19642857142857142,0.4942731261253357
0.1752988047808765,0.20833333333333334,0.49393776059150696
0.17928286852589642,0.20833333333333334,0.4935702085494995
0.17928286852589642,0.22023809523809523,0.49139168858528137
0.19123505976095617,0.22023809523809523,0.48596474528312683
0.19123505976095617,0.23214285714285715,0.48279866576194763
0.1952191235059761,0.23214285714285715,0.4821130633354187
0.1952191235059761,0.23809523809523808,0.47990545630455017
0.199203187250996,0.23809523809523808,0.47877538204193115
0.199203187250996,0.25,0.47763627767562866
0.20318725099601595,0.25,0.47693631052970886
0.20318725099601595,0.27380952380952384,0.4756315350532532
0.20717131474103587,0.27380952380952384,0.4754329323768616
0.20717131474103587,0.2857142857142857,0.47521841526031494
0.2350597609561753,0.2857142857142857,0.47085729241371155
0.2350597609561753,0.2916666666666667,0.46960997581481934
