Fold,Training_Patients,Validation_Patients,Selected_Feature_Count,Accuracy,Sensitivity,Specificity,AUC,TN,FP,FN,TP
1,334,85,9,0.611764705882353,0.2647058823529412,0.8431372549019608,0.5294117647058824,43,8,25,9
2,336,83,9,0.5662650602409639,0.12121212121212122,0.86,0.5303030303030303,43,7,29,4
3,335,84,9,0.5476190476190477,0.058823529411764705,0.88,0.5952941176470589,44,6,32,2
4,335,84,9,0.5952380952380952,0.0,1.0,0.2458823529411765,50,0,34,0
5,336,83,9,0.6626506024096386,0.15151515151515152,1.0,0.6333333333333333,50,0,28,5
