Fold,Training_Patients,Validation_Patients,Training_Class_0,Training_Class_1,Validation_Class_0,Validation_Class_1,Selected_Features,Accuracy
1,237,61,200,37,51,10,4,0.4098360655737705
2,238,60,201,37,50,10,4,0.5
3,239,59,201,38,50,9,4,0.559322033898305
4,239,59,201,38,50,9,4,0.6101694915254238
5,239,59,201,38,50,9,4,0.559322033898305
