Fold,Training_Patients,Testing_Patients,Class0_Train,Class1_Train,Class0_Test,Class1_Test,Accuracy,Sensitivity,Specificity,Precision,TP,TN,FP,FN
1,334,85,200,134,51,34,0.49411764705882355,0.5,0.49019607843137253,0.3953488372093023,17,25,26,17
2,336,83,201,135,50,33,0.5060240963855421,0.45454545454545453,0.54,0.39473684210526316,15,27,23,18
3,335,84,201,134,50,34,0.5714285714285714,0.5588235294117647,0.58,0.475,19,29,21,15
4,335,84,201,134,50,34,0.6904761904761905,0.6764705882352942,0.7,0.6052631578947368,23,35,15,11
5,336,83,201,135,50,33,0.5783132530120482,0.42424242424242425,0.68,0.4666666666666667,14,34,16,19
