Fold,Training_Patients,Validation_Patients,Selected_Feature_Count,Accuracy,Sensitivity,Specificity,AUC,TN,FP,FN,TP
1,334,85,5,0.5529411764705883,0.4117647058823529,0.6470588235294118,0.5585351787773933,33,18,20,14
2,336,83,5,0.5421686746987951,0.15151515151515152,0.8,0.47545454545454546,40,10,28,5
3,335,84,5,0.5476190476190477,0.0,0.92,0.6152941176470588,46,4,34,0
4,335,84,5,0.6428571428571429,0.14705882352941177,0.98,0.6529411764705881,49,1,29,5
5,336,83,5,0.6144578313253012,0.15151515151515152,0.92,0.6587878787878788,46,4,28,5
