Fold,Feature,Selected,ANOVA_F_Score
1,Angular_Mean,0,0.03213081456638436
1,Angular_Variance,0,0.5034587119806248
1,GLCM_Entropy,1,14.42680719926811
1,GLCM_Homogeneity,1,23.849286532406555
1,LBP_Entropy,1,16.923371011078487
1,LBP_Mean,0,2.7848937377420935
1,LBP_Variance,1,14.093649496671063
1,Spectral_Entropy,0,4.750596838629897
1,Statistical_Entropy,1,16.704451073079802
2,Angular_Mean,0,0.023693900205599163
2,Angular_Variance,0,0.9232195592456034
2,GLCM_Entropy,1,14.71817490678665
2,GLCM_Homogeneity,1,22.492434513307042
2,LBP_Entropy,1,15.324159404065709
2,LBP_Mean,0,1.8334421247736556
2,LBP_Variance,1,14.85818327105981
2,Spectral_Entropy,0,3.9315152463041367
2,Statistical_Entropy,1,15.243236544640133
3,Angular_Mean,0,2.3982584559485067
3,Angular_Variance,0,0.31697113198504834
3,GLCM_Entropy,1,11.80729462276453
3,GLCM_Homogeneity,1,17.41620009147045
3,LBP_Entropy,1,13.311634082456395
3,LBP_Mean,0,2.26539443778178
3,LBP_Variance,1,16.43811674945804
3,Spectral_Entropy,0,5.467546450066927
3,Statistical_Entropy,1,14.390971519641981
4,Angular_Mean,0,0.22812179569645033
4,Angular_Variance,0,0.9407161795030632
4,GLCM_Entropy,1,3.926991470911612
4,GLCM_Homogeneity,1,7.732466261882745
4,LBP_Entropy,1,7.221382025452524
4,LBP_Mean,0,1.3825002345774782
4,LBP_Variance,1,5.370838725646602
4,Spectral_Entropy,0,2.601461631620399
4,Statistical_Entropy,1,4.9035104693749085
5,Angular_Mean,0,0.41891840461120194
5,Angular_Variance,0,0.2061483798041861
5,GLCM_Entropy,1,9.405626917603577
5,GLCM_Homogeneity,1,14.950227128822073
5,LBP_Entropy,1,9.591047299447137
5,LBP_Mean,0,5.299957091464111
5,LBP_Variance,1,9.229322378834487
5,Spectral_Entropy,0,5.670062711880173
5,Statistical_Entropy,1,9.723003930261678
