Patient_ID,Perturbation,Feature,Original_Value,Perturbed_Value,Relative_Change,Percent_Change,Stable
LUNG1-001,Erode_1,Angular_Mean,77.02620663462118,76.74147121349236,0.0036966044878657452,0.3696604487865745,True
LUNG1-001,Erode_1,Angular_Variance,1906.8149767050895,1948.9787529105884,0.022112148646092754,2.2112148646092753,True
LUNG1-001,Erode_1,Dominant_Frequency,0.025150397922792472,0.033930909904093066,0.3491202011298311,34.912020112983114,False
LUNG1-001,Erode_1,Dominant_Orientation,60.70802274068518,58.7297061415983,0.03258739965123352,3.258739965123352,True
LUNG1-001,Erode_1,Fundamental_Period,61.00042001532562,58.18837752343,0.046098739831449236,4.609873983144923,True
LUNG1-001,Erode_1,GLCM_Contrast,29.036681053540562,30.460199279201667,0.04902482563473039,4.902482563473039,True
LUNG1-001,Erode_1,GLCM_Correlation,0.7720553560070806,0.7312916403183913,0.052798954597648634,5.279895459764863,True
LUNG1-001,Erode_1,GLCM_Energy,0.018671693904984965,0.020872172935580868,0.11785106599291557,11.785106599291558,False
LUNG1-001,Erode_1,GLCM_Entropy,7.28497915923418,7.13937394237518,0.019987046452210746,1.9987046452210746,True
LUNG1-001,Erode_1,GLCM_Homogeneity,0.4534297786298339,0.44921465204610084,0.009296095630221443,0.9296095630221444,True
LUNG1-001,Erode_1,GLCM_Maximum_Probability,0.06277766937368481,0.06425224165300174,0.023488802531669586,2.348880253166959,True
LUNG1-001,Erode_1,LBP_Entropy,6.004140665099076,5.855880021269955,0.024693066351848154,2.4693066351848154,True
LUNG1-001,Erode_1,LBP_Mean,125.59612642363139,126.64052257740758,0.008315512456598213,0.8315512456598213,True
LUNG1-001,Erode_1,LBP_Uniformity,0.0247533288163574,0.029170841219675198,0.17846134700067628,17.84613470006763,False
LUNG1-001,Erode_1,LBP_Variance,7160.263622496068,7273.813224619905,0.015858299094894703,1.5858299094894703,True
LUNG1-001,Erode_1,Radial_Mean,0.08023993887194267,0.09181457198257521,0.14425027328478965,14.425027328478965,False
LUNG1-001,Erode_1,Radial_Variance,0.007045033282547534,0.007988788842046568,0.13396041177505486,13.396041177505486,False
LUNG1-001,Erode_1,Spectral_Energy,0.000630912157291202,0.0005466534920124266,0.13355054947829317,13.355054947829318,False
LUNG1-001,Erode_1,Spectral_Entropy,13.061260153569533,13.31573541708983,0.01948320916422069,1.948320916422069,True
LUNG1-001,Erode_1,Statistical_Entropy,4.303862249143957,4.302758638637643,0.00025642328737010317,0.025642328737010316,True
LUNG1-001,Erode_1,Statistical_Mean,-575.3164051776204,-585.882821844906,0.018366270407365416,1.8366270407365417,True
LUNG1-001,Erode_1,Statistical_Smoothness,0.058251212242487076,0.05655252139438172,0.02916146776541016,2.916146776541016,True
LUNG1-001,Erode_1,Statistical_Third_Moment,31362747.436782043,32271874.69867196,0.028987487901767715,2.8987487901767715,True
LUNG1-001,Erode_1,Statistical_Uniformity,0.06472054458826734,0.06478989397926235,0.0010715205107773807,0.10715205107773808,True
LUNG1-001,Erode_1,Statistical_Variance,133297.50146062992,129177.34545809457,0.03090947660224721,3.090947660224721,True
LUNG1-001,Dilate_1,Angular_Mean,77.02620663462118,76.1531137488587,0.011335010821758983,1.1335010821758984,True
LUNG1-001,Dilate_1,Angular_Variance,1906.8149767050895,1889.9290846809713,0.008855548246897273,0.8855548246897273,True
LUNG1-001,Dilate_1,Dominant_Frequency,0.025150397922792472,0.02247468103123664,0.10638865038119219,10.638865038119219,False
LUNG1-001,Dilate_1,Dominant_Orientation,60.70802274068518,63.33259212461752,0.04323266127680042,4.323266127680042,True
LUNG1-001,Dilate_1,Fundamental_Period,61.00042001532562,64.86484973557701,0.06335087068712798,6.335087068712799,True
LUNG1-001,Dilate_1,GLCM_Contrast,29.036681053540562,26.597892617166092,0.08398991716297059,8.39899171629706,True
LUNG1-001,Dilate_1,GLCM_Correlation,0.7720553560070806,0.7876295547888277,0.02017238616450218,2.017238616450218,True
LUNG1-001,Dilate_1,GLCM_Energy,0.018671693904984965,0.01873492827484698,0.0033866434499085557,0.33866434499085557,True
LUNG1-001,Dilate_1,GLCM_Entropy,7.28497915923418,7.313978846733742,0.003980750921271061,0.3980750921271061,True
LUNG1-001,Dilate_1,GLCM_Homogeneity,0.4534297786298339,0.4640346083026175,0.023388030898255238,2.338803089825524,True
LUNG1-001,Dilate_1,GLCM_Maximum_Probability,0.06277766937368481,0.06247355630626336,0.004844287315147293,0.4844287315147293,True
LUNG1-001,Dilate_1,LBP_Entropy,6.004140665099076,6.106457402224475,0.017041029321672407,1.7041029321672407,True
LUNG1-001,Dilate_1,LBP_Mean,125.59612642363139,126.82879858717527,0.009814571505064743,0.9814571505064743,True
LUNG1-001,Dilate_1,LBP_Uniformity,0.0247533288163574,0.023010481353182732,0.07040860952903295,7.040860952903295,True
LUNG1-001,Dilate_1,LBP_Variance,7160.263622496068,7198.883179367472,0.005393594273550088,0.5393594273550087,True
LUNG1-001,Dilate_1,Radial_Mean,0.08023993887194267,0.07568548137285316,0.056760480667340726,5.676048066734072,True
LUNG1-001,Dilate_1,Radial_Variance,0.007045033282547534,0.0066013224872448414,0.06298207226385787,6.298207226385786,True
LUNG1-001,Dilate_1,Spectral_Energy,0.000630912157291202,0.0007231149306759503,0.14614201409688726,14.614201409688727,False
LUNG1-001,Dilate_1,Spectral_Entropy,13.061260153569533,12.86369160159058,0.01512630095840789,1.512630095840789,True
LUNG1-001,Dilate_1,Statistical_Entropy,4.303862249143957,4.258158486728261,0.01061924377918602,1.061924377918602,True
